Event,ExecTime(ms),VectorSize
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.99,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.78102,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.71,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.49707,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.56,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.33733,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.73,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.499024,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.89,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.67933,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.74,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.495606,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.67,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.47811,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.72,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.495606,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.81,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.6359,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.69,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.497558,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.82,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.69637,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.64,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.495606,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.72,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.66,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.37213,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.73,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.499755,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3543.21,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.91942,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.77,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.497314,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.72,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.86,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.67722,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.71,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.495849,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.72,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3543.07,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.82088,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.73,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.499024,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.72,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.83,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.68089,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.66,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.497315,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.76,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.63783,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.65,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.496582,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.47,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.28253,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.68,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.499024,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.72,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.76,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.58954,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.7,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.496338,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3543.04,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.80258,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.71,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.497803,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3561.73,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,22.594,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.64,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.497314,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.87,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.7473,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.65,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.495849,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.72,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3543.11,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.82323,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.76,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.497803,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.72,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3543.07,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.84477,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.72,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.497803,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.72,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3543.03,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.83841,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.69,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.496826,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.65,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.51697,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.64,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.497559,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.87,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.7491,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.64,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.496094,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.29,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.12828,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.68,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.496826,16777216,NVIDIA GeForce RTX 2080 Ti
