Event,ExecTime(ms),VectorSize,WorkGroupSize
Memory Setup Time,2.05867,16384,1024
Kernel Exec Time,0.169983,16384,1024
Total Exec Time,2.23861,16384,1024
Memory Setup Time,2.01494,16384,1024
Kernel Exec Time,0.171007,16384,1024
Total Exec Time,2.42751,16384,1024
Memory Setup Time,2.20621,16384,1024
Kernel Exec Time,0.169984,16384,1024
Total Exec Time,2.8479,16384,1024
Memory Setup Time,2.62494,16384,1024
Kernel Exec Time,0.169985,16384,1024
Total Exec Time,3.43097,32768,1024
Memory Setup Time,3.21212,32768,1024
Kernel Exec Time,0.171009,32768,1024
Total Exec Time,3.55497,32768,1024
Memory Setup Time,3.33195,32768,1024
Kernel Exec Time,0.169984,32768,1024
Total Exec Time,3.00499,32768,1024
Memory Setup Time,2.78132,32768,1024
Kernel Exec Time,0.169983,32768,1024
Total Exec Time,3.12152,32768,1024
Memory Setup Time,2.89615,32768,1024
Kernel Exec Time,0.171007,32768,1024
Total Exec Time,2.7585,32768,1024
Memory Setup Time,2.5408,32768,1024
Kernel Exec Time,0.171009,32768,1024
Total Exec Time,3.55177,32768,1024
Memory Setup Time,3.33277,32768,1024
Kernel Exec Time,0.169985,32768,1024
Total Exec Time,2.59663,32768,1024
Memory Setup Time,2.37398,32768,1024
Kernel Exec Time,0.169983,32768,1024
Total Exec Time,2.55971,32768,1024
Memory Setup Time,2.33523,32768,1024
Kernel Exec Time,0.171008,32768,1024
Total Exec Time,2.49397,32768,1024
Memory Setup Time,2.27113,32768,1024
Kernel Exec Time,0.169985,32768,1024
Total Exec Time,2.55693,32768,1024
Memory Setup Time,2.33682,32768,1024
Kernel Exec Time,0.169984,32768,1024
Total Exec Time,2.41612,32768,1024
Memory Setup Time,2.1891,32768,1024
Kernel Exec Time,0.169984,32768,1024
Total Exec Time,2.16694,32768,1024
Memory Setup Time,1.94404,32768,1024
Kernel Exec Time,0.169985,32768,1024
Total Exec Time,2.37047,32768,1024
Memory Setup Time,2.14759,32768,1024
Kernel Exec Time,0.169983,32768,1024
Total Exec Time,2.60416,32768,1024
Memory Setup Time,2.38046,32768,1024
Kernel Exec Time,0.169983,32768,1024
Total Exec Time,2.68464,32768,1024
Memory Setup Time,2.45268,32768,1024
Kernel Exec Time,0.169984,32768,1024
Total Exec Time,2.66344,32768,1024
Memory Setup Time,2.44062,32768,1024
Kernel Exec Time,0.169983,32768,1024
Total Exec Time,2.27228,32768,1024
Memory Setup Time,2.04966,32768,1024
Kernel Exec Time,0.169985,32768,1024
Total Exec Time,2.65874,32768,1024
Memory Setup Time,2.43739,32768,1024
Kernel Exec Time,0.169984,32768,1024
Total Exec Time,2.71139,32768,1024
Memory Setup Time,2.48873,32768,1024
Kernel Exec Time,0.169985,32768,1024
Total Exec Time,2.51031,32768,1024
Memory Setup Time,2.25918,32768,1024
Kernel Exec Time,0.171009,32768,1024
Total Exec Time,2.84252,32768,1024
Memory Setup Time,2.61508,32768,1024
Kernel Exec Time,0.169984,32768,1024
Total Exec Time,2.53645,32768,1024
Memory Setup Time,2.31323,32768,1024
Kernel Exec Time,0.169983,32768,1024
Total Exec Time,2.67058,32768,1024
Memory Setup Time,2.44972,32768,1024
Kernel Exec Time,0.169983,32768,1024
Total Exec Time,2.92446,32768,1024
Memory Setup Time,2.70031,32768,1024
Kernel Exec Time,0.169985,32768,1024
Total Exec Time,2.92436,32768,1024
Memory Setup Time,2.70248,32768,1024
Kernel Exec Time,0.169985,32768,1024
Total Exec Time,3.44353,32768,1024
Memory Setup Time,3.22199,32768,1024
Kernel Exec Time,0.169984,32768,1024
Total Exec Time,2.47234,32768,1024
Memory Setup Time,2.249,32768,1024
Kernel Exec Time,0.169984,32768,1024
Total Exec Time,4.03784,32768,1024
Memory Setup Time,3.81357,32768,1024
Kernel Exec Time,0.169985,32768,1024
Total Exec Time,2.45906,32768,1024
Memory Setup Time,2.23456,32768,1024
Kernel Exec Time,0.169985,32768,1024
Total Exec Time,3.40938,32768,1024
Memory Setup Time,3.18659,32768,1024
Kernel Exec Time,0.169985,32768,1024
Total Exec Time,2.91651,65536,1024
Memory Setup Time,2.69207,65536,1024
Kernel Exec Time,0.169983,65536,1024
Total Exec Time,2.56434,65536,1024
Memory Setup Time,2.32303,65536,1024
Kernel Exec Time,0.171007,65536,1024
Total Exec Time,2.58589,65536,1024
Memory Setup Time,2.36416,65536,1024
Kernel Exec Time,0.171009,65536,1024
Total Exec Time,2.78252,65536,1024
Memory Setup Time,2.56013,65536,1024
Kernel Exec Time,0.169985,65536,1024
Total Exec Time,2.4066,65536,1024
Memory Setup Time,2.18187,65536,1024
Kernel Exec Time,0.169985,65536,1024
Total Exec Time,2.56079,65536,1024
Memory Setup Time,2.33913,65536,1024
Kernel Exec Time,0.169984,65536,1024
Total Exec Time,2.68991,65536,1024
Memory Setup Time,2.46741,65536,1024
Kernel Exec Time,0.169984,65536,1024
Total Exec Time,2.33506,65536,1024
Memory Setup Time,2.09192,65536,1024
Kernel Exec Time,0.177151,65536,1024
Total Exec Time,2.56318,65536,1024
Memory Setup Time,2.34178,65536,1024
Kernel Exec Time,0.169984,65536,1024
Total Exec Time,2.29449,65536,1024
Memory Setup Time,2.07181,65536,1024
Kernel Exec Time,0.171008,65536,1024
Total Exec Time,2.86431,65536,1024
Memory Setup Time,2.64398,65536,1024
Kernel Exec Time,0.169983,65536,1024
Total Exec Time,2.82331,65536,1024
Memory Setup Time,2.60118,65536,1024
Kernel Exec Time,0.171007,65536,1024
Total Exec Time,2.34183,65536,1024
Memory Setup Time,2.12045,65536,1024
Kernel Exec Time,0.169983,65536,1024
Total Exec Time,2.61905,65536,1024
Memory Setup Time,2.39781,65536,1024
Kernel Exec Time,0.169984,65536,1024
