Event,ExecTime(ms),VectorSize,WorkGroupSize,Device
Memory Setup Time,3.03557,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.008927,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.55321,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.48754,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010177,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.28215,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.17032,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.012064,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.87296,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.806,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.01024,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.03548,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.97056,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010016,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.27289,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.12729,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.013601,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.68438,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.61725,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009921,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.18823,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.12119,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010239,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.05346,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.98678,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.01024,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.98882,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.84295,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.013216,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.04387,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.97831,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010175,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.72497,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.65999,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009983,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.95616,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.88935,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010239,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.05333,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.98564,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010016,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.25673,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.10787,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.01376,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.74467,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.6786,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010241,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.01694,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.9499,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010049,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.12085,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.04825,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010079,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.31229,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.24537,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009984,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.8509,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.78441,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.011265,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.6126,4096,32,NVIDIA GeForce RTX 2080 Ti
