Event,ExecTime(ms),VectorSize,WorkGroupSize,Device
Add Kernel Exec Time,14.7395,4194304,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,2.09725,4194304,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,103.392,8388608,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,54.8127,8388608,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,20.201,8388608,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,24.1351,8388608,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,4.15326,8388608,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,192.302,16777216,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,107.087,16777216,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,38.5967,16777216,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,38.2054,16777216,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,8.30041,16777216,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,363.843,33554432,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,211.339,33554432,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,71.5331,33554432,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,64.2992,33554432,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,16.5704,33554432,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,669.054,67108864,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,382.383,67108864,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,129.023,67108864,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,124.422,67108864,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,33.1149,67108864,1024,NVIDIA GeForce RTX 2080 Ti
